text	integer	float	float	boolean
SystematicName	ControlType	gTotalGeneSignal	gTotalGeneError	gIsGeneDetected
hsa-miR-1226-3p	0	0.1	1	0
hsa-miR-1226-5p	0	73.7705	6.38176	1
hsa-miR-1227	0	0.1	1	0
hsa-miR-1228-3p	0	55.6389	5.38138	1
hsa-miR-1228-5p	0	84.848	5.7542	1
hsa-miR-1229	0	0.1	1	0
hsa-miR-1231	0	0.1	1	0
hsa-miR-1233	0	0.1	1	0
hsa-miR-1234	0	49.7118	5.0533	1
hsa-miR-1236	0	0.1	1	0
hsa-miR-1237	0	0.1	1	0
hsa-miR-1238	0	32.3651	3.048	1
hsa-miR-124-3p	0	0.1	1	0
hsa-miR-124-5p	0	0.1	1	0
hsa-miR-1243	0	8.88548	2.70408	1
hsa-miR-1244	0	0.1	1	0
hsa-miR-1245a	0	0.1	1	0
hsa-miR-1246	0	33291.1	3106.68	1
hsa-miR-1247-5p	0	0.1	1	0
hsa-miR-1248	0	0.1	1	0
hsa-miR-1249	0	39.0917	4.55775	1
hsa-miR-1250	0	0.1	1	0
hsa-miR-1251	0	0.1	1	0
hsa-miR-1252	0	0.1	1	0
hsa-miR-1253	0	0.1	1	0
hsa-miR-1254	0	0.1	1	0
hsa-miR-1255a	0	0.1	1	0
hsa-miR-1255b-5p	0	0.1	1	0
hsa-miR-1256	0	0.1	1	0
hsa-miR-1257	0	0.1	1	0
hsa-miR-1258	0	26.4009	4.06892	1
hsa-miR-1259_v15.0	0	0.1	1	0
hsa-miR-125a-3p	0	363.258	21.3251	1
hsa-miR-125a-5p	0	108.111	9.72313	1
hsa-miR-125b-1-3p	0	0.1	1	0
hsa-miR-125b-2-3p	0	16.86	3.2142	1
hsa-miR-125b-5p	0	21.5485	3.34568	1
hsa-miR-126-3p	0	0.1	1	0
hsa-miR-126-5p	0	0.1	1	0
hsa-miR-1260a	0	4680.09	441.08	1
hsa-miR-1261	0	45.7951	4.87685	1
hsa-miR-1262	0	0.1	1	0
hsa-miR-1263	0	0.1	1	0
hsa-miR-1264	0	0.1	1	0
hsa-miR-1265	0	0.1	1	0
hsa-miR-1266	0	0.1	1	0
hsa-miR-1267	0	0.1	1	0
hsa-miR-1268a	0	1012.49	80.9244	1
hsa-miR-1269a	0	0.1	1	0
hsa-miR-127-3p	0	43.0447	4.73233	1
hsa-miR-127-5p	0	0.1	1	0
hsa-miR-1270	0	0.1	1	0
hsa-miR-1271-5p	0	12.7234	2.85769	1
hsa-miR-1272	0	0.1	1	0
hsa-miR-1273a	0	0.1	1	0
hsa-miR-1274a_v16.0	0	1429.72	120.905	1
hsa-miR-1274b_v16.0	0	14737.5	1105.78	1
hsa-miR-1275	0	655.422	60.0284	1
hsa-miR-1276	0	0.1	1	0
hsa-miR-1277-3p	0	0.1	1	0
hsa-miR-1278	0	0.1	1	0
hsa-miR-1279	0	0.1	1	0
hsa-miR-128	0	205.066	15.3602	1
hsa-miR-1280	0	317.862	28.7433	1
hsa-miR-1281	0	46.4298	4.92103	1
hsa-miR-1282	0	0.1	1	0
