text	integer	float	float	boolean
SystematicName	ControlType	gTotalGeneSignal	gTotalGeneError	gIsGeneDetected
hsa-miR-452-5p	0	0.1	1	0
hsa-miR-454-3p	0	38.7213	4.69413	1
hsa-miR-454-5p	0	0.1	1	0
hsa-miR-455-3p	0	17.4073	3.09385	1
hsa-miR-455-5p	0	0.1	1	0
hsa-miR-483-3p	0	0.1	1	0
hsa-miR-483-5p	0	948.641	74.0574	1
hsa-miR-484	0	85.2092	7.37956	1
hsa-miR-485-3p	0	0.1	1	0
hsa-miR-485-5p	0	0.1	1	0
hsa-miR-486-3p	0	0.1	1	0
hsa-miR-486-5p	0	0.1	1	0
hsa-miR-487a	0	0.1	1	0
hsa-miR-487b	0	0.1	1	0
hsa-miR-488-3p	0	0.1	1	0
hsa-miR-488-5p	0	0.1	1	0
hsa-miR-489	0	0.1	1	0
hsa-miR-490-3p	0	0.1	1	0
hsa-miR-490-5p	0	0.1	1	0
hsa-miR-491-3p	0	0.1	1	0
hsa-miR-491-5p	0	0.1	1	0
hsa-miR-492	0	0.1	1	0
hsa-miR-493-3p	0	0.1	1	0
hsa-miR-493-5p	0	0.1	1	0
hsa-miR-494	0	747.726	54.6302	1
hsa-miR-495	0	0.1	1	0
hsa-miR-496	0	0.1	1	0
hsa-miR-497-3p	0	0.1	1	0
hsa-miR-497-5p	0	0.1	1	0
hsa-miR-498	0	25.0313	4.05542	1
hsa-miR-499a-3p	0	0.1	1	0
hsa-miR-499a-5p	0	0.1	1	0
hsa-miR-500a-3p	0	12.6433	2.85413	1
hsa-miR-500a-5p	0	13.5015	2.46068	1
hsa-miR-501-3p	0	0.1	1	0
hsa-miR-501-5p	0	0.1	1	0
hsa-miR-502-3p	0	0.1	1	0
hsa-miR-502-5p	0	0.1	1	0
hsa-miR-503	0	0.1	1	0
hsa-miR-504	0	0.1	1	0
hsa-miR-505-3p	0	96.0304	8.24783	1
hsa-miR-505-5p	0	0.1	1	0
hsa-miR-506-3p	0	0.1	1	0
hsa-miR-507	0	0.1	1	0
hsa-miR-508-3p	0	0.1	1	0
hsa-miR-508-5p	0	0.1	1	0
hsa-miR-509-3-5p	0	0.1	1	0
hsa-miR-509-3p	0	0.1	1	0
hsa-miR-509-5p	0	0.1	1	0
hsa-miR-510	0	0.1	1	0
hsa-miR-511	0	0.1	1	0
hsa-miR-512-3p	0	59.7373	5.60022	1
hsa-miR-512-5p	0	0.1	1	0
hsa-miR-513a-3p	0	9.13696	1.96993	1
hsa-miR-513a-5p	0	42.4143	4.77474	1
hsa-miR-513b	0	5.01986	1.3728	1
hsa-miR-513c-5p	0	0.1	1	0
hsa-miR-514a-3p	0	0.1	1	0
hsa-miR-515-3p	0	0.1	1	0
hsa-miR-515-5p	0	0.1	1	0
hsa-miR-516a-3p	0	0.1	1	0
hsa-miR-516a-5p	0	10.9824	2.84369	1
hsa-miR-516b-5p	0	8.28055	2.69393	1
hsa-miR-517-5p	0	0.1	1	0
hsa-miR-517a-3p	0	0.1	1	0
hsa-miR-517b_v17.0	0	0.1	1	0
hsa-miR-517c-3p	0	0.1	1	0
hsa-miR-518a-3p	0	0.1	1	0
hsa-miR-518a-5p	0	0.1	1	0
hsa-miR-518b	0	0.1	1	0
hsa-miR-518c-3p	0	0.1	1	0
hsa-miR-518c-5p	0	0.1	1	0
hsa-miR-518d-3p	0	0.1	1	0
hsa-miR-518e-3p	0	0.1	1	0
hsa-miR-518e-5p	0	0.1	1	0
hsa-miR-518f-3p	0	0.1	1	0
hsa-miR-518f-5p	0	0.1	1	0
hsa-miR-519b-3p	0	0.1	1	0
hsa-miR-519c-3p	0	0.1	1	0
hsa-miR-519d	0	0.1	1	0
hsa-miR-519e-3p	0	0.1	1	0
hsa-miR-519e-5p	0	0.1	1	0
hsa-miR-520a-3p	0	0.1	1	0
hsa-miR-520a-5p	0	0.1	1	0
hsa-miR-520b	0	349.602	24.9968	1
hsa-miR-520c-3p	0	0.1	1	0
hsa-miR-520d-3p	0	10.8895	2.77394	1
hsa-miR-520e	0	170.127	10.3154	1
hsa-miR-520f	0	28.527	4.14364	1
hsa-miR-520g	0	0.1	1	0
hsa-miR-520h	0	0.1	1	0
hsa-miR-521	0	0.1	1	0
hsa-miR-522-3p	0	0.1	1	0
hsa-miR-523-3p	0	0.1	1	0
hsa-miR-524-3p	0	0.1	1	0
hsa-miR-525-3p	0	0.1	1	0
hsa-miR-525-5p	0	0.1	1	0
hsa-miR-526b-3p	0	0.1	1	0
hsa-miR-526b-5p	0	13.2307	2.87827	1
hsa-miR-532-3p	0	0.1	1	0
hsa-miR-532-5p	0	30.1973	4.2168	1
hsa-miR-539-5p	0	40.4793	3.77977	1
hsa-miR-541-3p	0	0.1	1	0
hsa-miR-541-5p	0	0.1	1	0
hsa-miR-542-3p	0	0.1	1	0
hsa-miR-542-5p	0	10.3002	2.75437	1
hsa-miR-543	0	0.1	1	0
hsa-miR-544a	0	0.1	1	0
hsa-miR-545-3p	0	0.1	1	0
hsa-miR-545-5p	0	0.1	1	0
hsa-miR-548a-3p	0	0.1	1	0
hsa-miR-548a-5p	0	8.40411	1.53282	1
hsa-miR-548am-5p	0	10.2473	1.65636	1
hsa-miR-548av-3p	0	0.1	1	0
hsa-miR-548b-3p	0	0.1	1	0
hsa-miR-548b-5p	0	0.1	1	0
hsa-miR-548c-3p	0	62.1944	6.35153	1
hsa-miR-548d-3p	0	0.1	1	0
hsa-miR-548d-5p	0	9.207	1.61927	1
hsa-miR-548e	0	0.1	1	0
hsa-miR-548f	0	122.282	13.5403	1
hsa-miR-548g-3p	0	0.1	1	0
hsa-miR-548h-5p	0	0.1	1	0
hsa-miR-548i	0	0.1	1	0
hsa-miR-548j	0	0.1	1	0
hsa-miR-548k	0	0.1	1	0
hsa-miR-548l	0	0.1	1	0
hsa-miR-548m	0	0.1	1	0
hsa-miR-548n	0	23.0419	3.44059	1
hsa-miR-548p	0	0.1	1	0
hsa-miR-549	0	0.1	1	0
hsa-miR-550a-3p	0	0.1	1	0
hsa-miR-550a-5p	0	23.3356	2.82193	1
hsa-miR-551a	0	0.1	1	0
hsa-miR-551b-3p	0	0.1	1	0
hsa-miR-551b-5p	0	0.1	1	0
hsa-miR-552	0	0.1	1	0
hsa-miR-553	0	0.1	1	0
hsa-miR-554	0	0.1	1	0
hsa-miR-555	0	0.1	1	0
hsa-miR-556-3p	0	0.1	1	0
hsa-miR-556-5p	0	0.1	1	0
hsa-miR-557	0	64.2949	6.01021	1
hsa-miR-558	0	0.1	1	0
hsa-miR-559	0	0.1	1	0
hsa-miR-561-3p	0	0.1	1	0
hsa-miR-562	0	0.1	1	0
hsa-miR-563	0	0.1	1	0
hsa-miR-564	0	0.1	1	0
hsa-miR-566	0	0.1	1	0
hsa-miR-567	0	0.1	1	0
hsa-miR-568	0	0.1	1	0
hsa-miR-569	0	0.1	1	0
hsa-miR-570-3p	0	0.1	1	0
hsa-miR-571	0	0.1	1	0
hsa-miR-572	0	426.845	39.2494	1
hsa-miR-573	0	0.1	1	0
hsa-miR-574-3p	0	0.1	1	0
hsa-miR-574-5p	0	800.478	57.4416	1
hsa-miR-575	0	361.15	25.901	1
hsa-miR-576-3p	0	0.1	1	0
hsa-miR-576-5p	0	0.1	1	0
hsa-miR-577	0	0.1	1	0
hsa-miR-578	0	0.1	1	0
hsa-miR-579	0	0.1	1	0
hsa-miR-580	0	0.1	1	0
hsa-miR-581	0	0.1	1	0
hsa-miR-582-3p	0	0.1	1	0
hsa-miR-582-5p	0	0.1	1	0
hsa-miR-583	0	135.157	9.61559	1
hsa-miR-584-5p	0	29.9341	4.19832	1
hsa-miR-585	0	0.1	1	0
hsa-miR-586	0	0.1	1	0
hsa-miR-587	0	0.1	1	0
hsa-miR-588	0	14.8555	2.38876	1
hsa-miR-589-3p	0	0.1	1	0
hsa-miR-589-5p	0	0.1	1	0
hsa-miR-590-3p	0	0.1	1	0
hsa-miR-590-5p	0	176.231	13.1274	1
hsa-miR-591	0	0.1	1	0
hsa-miR-592	0	0.1	1	0
hsa-miR-593-3p	0	0.1	1	0
hsa-miR-593-5p	0	0.1	1	0
hsa-miR-595	0	148.577	9.14902	1
hsa-miR-596	0	0.1	1	0
hsa-miR-597	0	0.1	1	0
hsa-miR-598	0	8.25135	2.68675	1
hsa-miR-599	0	0.1	1	0
hsa-miR-600	0	0.1	1	0
hsa-miR-601	0	242.821	12.4202	1
hsa-miR-602	0	29.8661	3.47037	1
hsa-miR-603	0	0.1	1	0
hsa-miR-604	0	0.1	1	0
hsa-miR-605	0	0.1	1	0
hsa-miR-606	0	0.1	1	0
hsa-miR-607	0	0.1	1	0
hsa-miR-608	0	0.1	1	0
hsa-miR-609	0	0.1	1	0
hsa-miR-610	0	34.4946	3.0973	1
hsa-miR-611	0	0.1	1	0
hsa-miR-612	0	0.1	1	0
hsa-miR-613	0	0.1	1	0
hsa-miR-614	0	0.1	1	0
hsa-miR-615-3p	0	0.1	1	0
hsa-miR-615-5p	0	0.1	1	0
hsa-miR-616-3p	0	14.7636	2.13109	1
hsa-miR-616-5p	0	0.1	1	0
hsa-miR-617	0	0.1	1	0
hsa-miR-618	0	0.1	1	0
hsa-miR-619	0	0.1	1	0
hsa-miR-620	0	0.1	1	0
hsa-miR-621	0	0.1	1	0
hsa-miR-622	0	28.6224	3.42581	1
hsa-miR-623	0	48.3069	3.5862	1
hsa-miR-624-3p	0	0.1	1	0
hsa-miR-624-5p	0	0.1	1	0
hsa-miR-625-3p	0	4.89232	1.3675	1
hsa-miR-625-5p	0	95.5296	7.79316	1
hsa-miR-626	0	0.1	1	0
hsa-miR-627	0	16.519	2.41983	1
hsa-miR-628-3p	0	0.1	1	0
hsa-miR-628-5p	0	0.1	1	0
hsa-miR-629-3p	0	54.747	3.75634	1
hsa-miR-629-5p	0	18.2662	2.29817	1
hsa-miR-630	0	33525.4	2386.12	1
hsa-miR-631	0	0.1	1	0
hsa-miR-632	0	0.1	1	0
hsa-miR-633	0	0.1	1	0
hsa-miR-634	0	0.1	1	0
hsa-miR-635	0	0.1	1	0
hsa-miR-636	0	19.5272	2.49016	1
hsa-miR-637	0	0.1	1	0
hsa-miR-638	0	2435.38	180.652	1
hsa-miR-639	0	0.1	1	0
hsa-miR-640	0	0.1	1	0
hsa-miR-641	0	0.1	1	0
hsa-miR-642a-5p	0	0.1	1	0
hsa-miR-643	0	0.1	1	0
hsa-miR-644a	0	0.1	1	0
hsa-miR-645	0	20.9486	2.53161	1
hsa-miR-646	0	0.1	1	0
hsa-miR-647	0	0.1	1	0
hsa-miR-648	0	0.1	1	0
hsa-miR-649	0	0.1	1	0
hsa-miR-650	0	0.1	1	0
hsa-miR-651	0	0.1	1	0
hsa-miR-652-3p	0	57.9485	5.99108	1
hsa-miR-653	0	0.1	1	0
hsa-miR-654-3p	0	0.1	1	0
hsa-miR-654-5p	0	19.2166	2.27173	1
hsa-miR-655	0	0.1	1	0
hsa-miR-656	0	0.1	1	0
hsa-miR-657	0	0.1	1	0
hsa-miR-658	0	5.56245	1.39811	1
hsa-miR-659-3p	0	14.709	2.95673	1
hsa-miR-660-5p	0	78.3798	6.92775	1
hsa-miR-661	0	0.1	1	0
hsa-miR-662	0	0.1	1	0
hsa-miR-663a	0	127.964	10.4772	1
hsa-miR-663b	0	0.1	1	0
hsa-miR-664-3p	0	26.22	4.06828	1
hsa-miR-664-5p	0	0.1	1	0
hsa-miR-665	0	0.1	1	0
hsa-miR-668	0	0.1	1	0
hsa-miR-671-3p	0	0.1	1	0
hsa-miR-671-5p	0	132.44	10.1888	1
hsa-miR-675-3p	0	0.1	1	0
hsa-miR-675-5p	0	0.1	1	0
hsa-miR-7-1-3p	0	19.5108	3.22794	1
hsa-miR-7-2-3p	0	0.1	1	0
hsa-miR-7-5p	0	41.6776	4.73644	1
hsa-miR-708-3p	0	0.1	1	0
hsa-miR-708-5p	0	0.1	1	0
hsa-miR-720	0	22505	1641.84	1
hsa-miR-744-3p	0	0.1	1	0
hsa-miR-744-5p	0	26.8467	4.10468	1
hsa-miR-758	0	0.1	1	0
hsa-miR-760	0	38.4916	3.37562	1
hsa-miR-765	0	333.856	27.4831	1
hsa-miR-766-3p	0	84.7846	5.18761	1
hsa-miR-767-3p	0	0.1	1	0
hsa-miR-767-5p	0	0.1	1	0
hsa-miR-769-3p	0	25.0228	2.77674	1
hsa-miR-769-5p	0	9.66316	2.73279	1
hsa-miR-770-5p	0	0.1	1	0
hsa-miR-802	0	0.1	1	0
hsa-miR-873-5p	0	0.1	1	0
hsa-miR-874	0	201.274	15.0118	1
hsa-miR-875-3p	0	0.1	1	0
hsa-miR-875-5p	0	0.1	1	0
hsa-miR-876-3p	0	0.1	1	0
hsa-miR-876-5p	0	0.1	1	0
hsa-miR-877-3p	0	45.0641	3.44681	1
hsa-miR-877-5p	0	38.5959	3.21344	1
hsa-miR-885-3p	0	30.0082	2.85669	1
hsa-miR-885-5p	0	0.1	1	0
hsa-miR-886-3p_v15.0	0	24.0538	2.87985	1
hsa-miR-886-5p_v15.0	0	0.1	1	0
hsa-miR-887	0	45.0578	3.42182	1
hsa-miR-888-3p	0	0.1	1	0
hsa-miR-888-5p	0	0.1	1	0
hsa-miR-889	0	0.1	1	0
hsa-miR-890	0	0.1	1	0
hsa-miR-891a	0	0.1	1	0
hsa-miR-891b	0	0.1	1	0
hsa-miR-892a	0	0.1	1	0
hsa-miR-892b	0	26.579	2.93904	1
hsa-miR-9-3p	0	0.1	1	0
hsa-miR-9-5p	0	0.1	1	0
hsa-miR-920	0	0.1	1	0
hsa-miR-921	0	0.1	1	0
hsa-miR-922	0	0.1	1	0
hsa-miR-923_v12.0	0	25791	1837.68	1
hsa-miR-924	0	0.1	1	0
hsa-miR-92a-1-5p	0	0.1	1	0
hsa-miR-92a-2-5p	0	0.1	1	0
hsa-miR-92a-3p	0	1918.66	142.62	1
hsa-miR-92b-3p	0	0.1	1	0
hsa-miR-92b-5p	0	0.1	1	0
hsa-miR-93-3p	0	5.21269	1.38241	1
hsa-miR-93-5p	0	679.627	52.2077	1
hsa-miR-933	0	5.02784	1.37356	1
hsa-miR-934	0	0.1	1	0
hsa-miR-935	0	0.1	1	0
hsa-miR-936	0	9.82597	2.74148	1
hsa-miR-937	0	0.1	1	0
hsa-miR-938	0	0.1	1	0
hsa-miR-939	0	303.508	21.8898	1
hsa-miR-940	0	212.905	16.0112	1
hsa-miR-941	0	0.1	1	0
hsa-miR-942	0	0.1	1	0
hsa-miR-943	0	0.1	1	0
hsa-miR-944	0	0.1	1	0
hsa-miR-95	0	0.1	1	0
hsa-miR-96-3p	0	0.1	1	0
hsa-miR-96-5p	0	0.1	1	0
hsa-miR-98	0	138.368	10.8341	1
hsa-miR-99a-3p	0	0.1	1	0
hsa-miR-99a-5p	0	32.0881	4.10847	1
hsa-miR-99b-3p	0	14.381	2.36784	1
hsa-miR-99b-5p	0	45.069	4.86389	1
hsv1-miR-H1_v14.0	0	108.974	6.26582	1
hsv1-miR-H2	0	0.1	1	0
hsv1-miR-H2*	0	0.1	1	0
hsv1-miR-H3_v14.0	0	0.1	1	0
hsv1-miR-H4-3p	0	0.1	1	0
hsv1-miR-H4-5p	0	0.1	1	0
hsv1-miR-H5-3p	0	0.1	1	0
hsv1-miR-H6-3p	0	17.887	3.84001	1
hur_1	1	209064	10488.6	1
hur_2	1	160985	8065.35	1
hur_4	1	40978.9	2286.89	1
hur_5	1	444.506	23.2406	1
hur_6	1	30654.5	1789.46	1
jcv-miR-J1-3p	0	0.1	1	0
jcv-miR-J1-5p	0	0.1	1	0
kshv-miR-K12-1	0	0.1	1	0
kshv-miR-K12-10b	0	4.96556	1.38135	1
kshv-miR-K12-11	0	0.1	1	0
kshv-miR-K12-12*	0	0.1	1	0
kshv-miR-K12-2	0	0.1	1	0
kshv-miR-K12-3	0	1858.88	140.272	1
kshv-miR-K12-3*	0	0.1	1	0
kshv-miR-K12-4-3p	0	0.1	1	0
kshv-miR-K12-4-5p	0	0.1	1	0
kshv-miR-K12-5_v14.0	0	0.1	1	0
kshv-miR-K12-6-3p	0	0.1	1	0
kshv-miR-K12-6-5p	0	0.1	1	0
kshv-miR-K12-7_v14.0	0	0.1	1	0
kshv-miR-K12-8_v14.0	0	5.42931	1.38796	1
kshv-miR-K12-9	0	0.1	1	0
kshv-miR-K12-9*	0	0.1	1	0
miRNABrightCorner30	1	177.572	18.2875	1
mr_1	1	17385.3	908.504	1
